State,Year,Month,Month_Num,Date,Month_Total,Group,Category,Total,
Andhra Pradesh(84),2023,JUN,6,2023-06-01,63372,"Transport
7,847",-Excavator (Commercial),3,
Andhra Pradesh(84),2023,JUN,6,2023-06-01,63372,"Transport
7,847",-Trailer (Commercial),446,
Andhra Pradesh(84),2023,JUN,6,2023-06-01,63372,"Transport
7,847",-Construction Equipment Vehicle (Commercial),3,
Andhra Pradesh(84),2023,JUN,6,2023-06-01,63372,"Transport
7,847",-Maxi Cab,64,
Andhra Pradesh(84),2023,JUN,6,2023-06-01,63372,"Transport
7,847",-e-Rickshaw with Cart (G),3,
Andhra Pradesh(84),2023,JUN,6,2023-06-01,63372,"Transport
7,847",-e-Rickshaw(P),2,
Andhra Pradesh(84),2023,JUN,6,2023-06-01,63372,"Transport
7,847",-Mobile Clinic,2,
Andhra Pradesh(84),2023,JUN,6,2023-06-01,63372,"Transport
7,847",-Goods Carrier,1910,
Andhra Pradesh(84),2023,JUN,6,2023-06-01,63372,"Transport
7,847",-Motor Cycle/Scooter-Used For Hire,11,
Andhra Pradesh(84),2023,JUN,6,2023-06-01,63372,"Non Transport
55,525",-Road Roller,7,
Andhra Pradesh(84),2023,JUN,6,2023-06-01,63372,"Non Transport
55,525",-M-Cycle/Scooter-With Side Car,2,
Andhra Pradesh(84),2023,AUG,8,2023-08-01,75684,"Transport
8,248",-Trailer (Commercial),454,
Andhra Pradesh(84),2023,AUG,8,2023-08-01,75684,"Transport
8,248",-e-Rickshaw with Cart (G),3,
Andhra Pradesh(84),2023,AUG,8,2023-08-01,75684,"Transport
8,248",-Luxury Cab,9,
Andhra Pradesh(84),2023,AUG,8,2023-08-01,75684,"Transport
8,248",-Three Wheeler (Passenger),3511,
Andhra Pradesh(84),2023,AUG,8,2023-08-01,75684,"Transport
8,248",-Three Wheeler (Goods),664,
Andhra Pradesh(84),2023,AUG,8,2023-08-01,75684,"Transport
8,248",-Goods Carrier,1923,
Andhra Pradesh(84),2023,AUG,8,2023-08-01,75684,"Transport
8,248",-Tractor (Commercial),651,
Andhra Pradesh(84),2023,OCT,10,2023-10-01,86838,"Transport
8,059",-Goods Carrier,2106,
Andhra Pradesh(84),2023,NOV,11,2023-11-01,98646,"Transport
10,953",-Trailer (Commercial),550,
Andhra Pradesh(84),2023,DEC,12,2023-12-01,77063,"Transport
9,015",-Construction Equipment Vehicle (Commercial),5,
Andhra Pradesh(84),2023,DEC,12,2023-12-01,77063,"Transport
9,015",-Luxury Cab,3,
Andhra Pradesh(84),2023,DEC,12,2023-12-01,77063,"Transport
9,015",-Three Wheeler (Passenger),3859,
Andhra Pradesh(84),2023,DEC,12,2023-12-01,77063,"Transport
9,015",-Three Wheeler (Goods),687,
Andhra Pradesh(84),2023,DEC,12,2023-12-01,77063,"Transport
9,015",-Goods Carrier,2293,
Andhra Pradesh(84),2023,DEC,12,2023-12-01,77063,"Transport
9,015",-Tractor (Commercial),747,
Andhra Pradesh(84),2023,DEC,12,2023-12-01,77063,"Transport
9,015",-Mobile Clinic,1,
Andhra Pradesh(84),2023,DEC,12,2023-12-01,77063,"Transport
9,015",-Private Service Vehicle,8,
Andhra Pradesh(84),2023,DEC,12,2023-12-01,77063,"Transport
9,015",-Maxi Cab,77,
Andhra Pradesh(84),2023,DEC,12,2023-12-01,77063,"Transport
9,015",-Motor Cab,472,
Andhra Pradesh(84),2023,DEC,12,2023-12-01,77063,"Transport
9,015",-Bus,66,
